aX,aY,aZ,gX,gY,gZ
-0.001,0.039,1.121,-15.259,-22.705,13.733
-0.034,-0.100,0.529,-5.432,18.555,-0.549
-0.046,0.004,1.171,7.629,-1.587,3.296
-0.065,-0.065,1.075,-0.366,5.920,2.930
-0.031,0.034,1.229,-14.160,28.137,0.977
-0.047,-0.035,1.176,-26.794,40.100,2.869
0.016,-0.003,0.958,-22.888,44.434,2.930
0.033,0.006,0.781,-10.254,28.442,3.418
0.026,0.013,0.619,-2.197,9.338,2.991
0.020,0.000,0.634,5.554,-2.808,2.441
0.010,-0.007,0.716,10.010,-12.451,2.197
-0.004,0.007,0.942,11.841,-19.348,1.709
-0.029,-0.019,1.095,13.977,-19.958,1.282
-0.046,-0.019,1.277,15.869,-16.724,1.465
-0.043,-0.025,1.226,9.827,-7.080,1.953
-0.030,-0.018,1.088,-0.244,1.404,2.930
-0.019,-0.006,1.014,-3.174,8.240,2.930
-0.017,-0.010,0.939,-2.869,12.146,2.808
-0.033,-0.009,1.102,-5.005,15.747,2.686
-0.075,-0.026,1.482,-7.080,22.339,4.089
-0.067,-0.017,1.962,-10.315,37.781,6.714
-0.078,-0.097,1.912,-23.682,51.392,8.911
-0.047,0.125,1.586,-68.542,82.397,4.761
-0.016,0.002,0.603,0.061,125.610,-4.333
0.047,-0.120,-0.065,14.893,125.244,-7.141
0.029,-0.100,-0.311,14.343,93.994,-1.099
0.033,-0.091,-0.055,-0.061,28.687,5.493
0.087,-0.029,0.058,-6.165,-10.925,10.010
0.125,0.016,-0.078,-11.353,-6.104,9.094
0.142,-0.015,-0.079,-4.456,-28.198,7.874
0.099,-0.035,0.270,3.540,-82.336,14.771
0.001,0.054,0.641,-7.568,-109.802,19.165
0.126,0.281,1.243,-9.644,-123.840,15.930
-0.230,0.641,2.337,130.920,-208.740,20.264
-0.301,-0.182,0.893,157.837,-43.884,0.305
-0.161,-0.137,0.706,-6.775,14.709,-18.921
-0.003,-0.039,1.500,-28.442,-69.763,2.869
0.005,-0.020,0.620,-18.738,13.733,1.343
-0.053,-0.087,0.506,4.578,25.208,-7.935
-0.052,0.033,1.388,14.893,-19.836,8.545
-0.098,-0.107,1.247,4.028,7.751,3.662
-0.016,0.062,1.237,-22.949,39.246,1.587
-0.044,-0.019,1.341,-40.955,55.786,2.747
0.037,0.008,0.684,-26.001,53.528,2.747
0.034,0.014,0.651,-14.160,35.034,1.831
0.028,0.033,0.634,2.380,1.465,5.249
0.026,-0.006,0.507,9.888,-1.465,1.587
0.011,-0.011,0.606,7.080,-13.733,2.075
-0.264,-0.269,0.680,85.510,23.315,-6.592
-0.111,0.033,1.319,-27.039,-28.442,-1.770
0.021,-0.149,1.097,-22.888,-39.612,-1.343
-0.039,-0.040,0.495,-12.085,27.161,-2.625
-0.045,-0.046,0.829,8.972,12.329,-1.953
-0.067,0.001,1.401,11.841,-17.822,4.700
-0.065,-0.027,1.290,-8.240,26.550,0.366
-0.052,-0.019,1.209,-29.907,45.959,2.136
0.025,0.035,1.026,-32.532,52.124,2.991
0.038,-0.024,0.596,-22.034,48.889,0.854
0.027,0.029,0.677,-5.737,15.869,3.052
0.028,0.008,0.600,6.958,-3.540,3.784
0.024,-0.001,0.570,9.644,-8.118,2.014
0.002,0.006,0.882,8.179,-18.921,1.770
-0.017,-0.000,1.030,15.869,-25.818,1.709
-0.051,-0.054,1.255,19.592,-22.888,1.160
-0.073,-0.017,1.511,22.827,-26.550,4.211
-0.087,-0.018,1.529,1.648,0.854,3.662
-0.078,-0.021,1.643,-8.301,26.184,4.883
-0.054,-0.021,1.754,-18.005,50.476,6.470
-0.046,0.146,1.828,-46.570,72.021,6.775
0.011,0.011,0.937,-26.978,101.624,0.122
0.007,-0.053,0.365,2.258,117.676,-5.432
0.097,-0.012,0.062,13.916,89.050,-2.808
0.089,-0.029,-0.039,8.850,56.030,0.610
0.082,-0.035,-0.010,-3.235,25.146,2.197
0.118,0.001,-0.019,-5.493,-1.953,3.723
0.137,0.047,-0.001,-2.686,-27.405,3.601
0.038,-0.037,0.294,0.610,-64.636,3.967
0.020,-0.007,0.534,-5.554,-88.928,6.592
0.007,0.054,0.695,-13.916,-99.976,5.615
-0.163,-0.034,2.646,34.729,-149.963,10.193
-0.194,-0.036,1.488,186.401,-128.479,11.536
-0.194,-0.221,0.655,35.095,32.898,-6.592
-0.045,0.110,1.502,-25.696,-47.485,3.052
0.015,-0.067,0.960,-22.034,-10.132,-4.822
-0.032,-0.038,0.474,-6.409,25.696,-4.639
-0.062,-0.116,1.128,8.240,-1.953,2.563
-0.078,-0.043,1.254,5.310,-3.052,3.845
-0.025,0.053,1.236,-16.479,33.813,0.732
-0.045,-0.039,1.244,-31.677,48.767,2.014
0.038,0.051,0.941,-22.827,45.715,3.174
0.032,-0.017,0.583,-18.372,39.246,0.488
0.023,0.027,0.686,-0.305,4.333,3.906
0.023,-0.001,0.609,8.606,-4.333,2.563
0.011,-0.002,0.654,9.583,-12.390,2.014
-0.005,0.021,1.007,10.681,-21.484,1.770
-0.028,-0.018,1.049,17.212,-22.156,1.221
-0.050,-0.016,1.254,20.569,-23.376,2.258
-0.046,-0.017,1.267,17.944,-20.264,4.150
-0.042,-0.021,1.143,0.244,1.770,2.319
-0.055,-0.000,1.310,-5.615,10.071,3.418
-0.064,-0.018,1.366,-7.507,25.635,3.784
-0.062,-0.015,1.707,-17.578,46.448,4.578
-0.021,0.067,1.932,-18.860,63.416,5.066
-0.058,0.002,1.506,-11.841,91.919,0.244
-0.006,0.018,0.936,-18.127,113.953,-4.028
0.015,-0.038,0.398,5.737,108.643,-4.272
0.092,-0.032,0.056,11.353,95.337,-3.296
0.110,-0.018,0.023,3.174,63.110,0.488
0.130,0.002,-0.033,1.587,19.653,3.113
0.105,-0.026,-0.054,0.427,-0.244,2.747
0.090,-0.018,-0.119,5.005,-29.053,3.357
0.093,0.027,-0.044,5.676,-57.129,4.272
0.001,-0.082,0.363,-0.488,-98.511,5.981
-0.014,0.028,0.715,-10.559,-125.427,10.254
0.008,0.127,1.641,-12.573,-127.686,6.653
-0.098,0.654,2.925,140.503,-186.768,15.442
-0.283,-0.244,0.724,130.737,8.484,-5.920
-0.128,-0.004,0.894,-25.208,-4.883,-9.644
0.016,0.012,1.480,-30.884,-70.618,5.371
-0.029,0.008,0.630,-14.526,15.137,1.831
-0.062,-0.122,0.480,4.028,33.020,-8.423
-0.054,0.030,1.472,17.456,-22.217,7.385
-0.094,-0.110,1.277,4.700,6.958,3.967
-0.019,0.051,1.233,-25.391,43.091,1.831
-0.027,-0.010,1.338,-43.762,59.631,3.113
0.052,-0.001,0.634,-27.710,59.143,2.380
0.041,-0.004,0.622,-14.648,37.842,0.488
0.033,0.029,0.631,5.615,-1.770,5.676
0.030,-0.016,0.486,10.681,-2.625,1.526
0.013,-0.020,1.141,10.010,-31.738,3.113
-0.033,-0.028,1.099,22.949,-31.067,1.404
-0.056,0.001,1.450,25.513,-29.602,2.197
-0.056,-0.042,1.220,15.442,-15.320,2.686
-0.039,-0.019,1.113,-0.366,1.038,2.808
-0.027,-0.006,1.028,-4.700,10.254,2.991
-0.015,0.000,0.939,-5.249,15.930,2.869
-0.026,-0.020,0.957,-9.583,22.766,1.892
-0.047,-0.009,1.286,-10.010,22.766,3.296
-0.030,-0.016,1.511,-7.812,28.931,4.700
-0.049,0.035,2.024,-9.766,37.842,5.432
-0.053,0.129,1.913,-20.569,64.514,3.113
0.010,0.040,1.049,-25.452,102.661,-1.831
0.010,-0.022,0.384,3.174,114.014,-4.822
0.080,-0.061,0.072,13.550,97.107,-4.089
0.132,0.014,-0.025,8.057,62.622,1.099
0.127,-0.002,-0.048,3.662,21.118,2.869
0.126,0.004,-0.031,0.854,-5.371,2.991
0.099,-0.001,-0.052,3.784,-30.396,2.808
0.042,-0.011,0.100,6.470,-61.646,3.174
0.004,-0.119,0.437,-1.892,-93.933,4.578
-0.003,0.081,0.731,-14.709,-114.197,8.118
-0.081,-0.034,1.811,-8.057,-119.690,5.310
-0.129,0.491,2.970,134.521,-186.829,14.099
-0.229,-0.237,0.649,85.510,14.771,-5.798
-0.101,-0.014,1.017,-24.597,-11.902,-2.808
0.024,0.040,1.439,-20.691,-66.711,4.822
-0.009,-0.011,0.564,-7.996,33.691,-1.892
-0.069,-0.056,0.477,0.183,44.250,-4.822
-0.042,0.055,1.412,2.625,-23.193,3.723
-0.032,0.028,1.310,-6.775,9.766,5.920
-0.045,-0.067,1.147,-29.602,55.725,-0.183
0.038,0.034,1.009,-24.353,45.105,3.235
0.031,-0.027,0.633,-15.076,33.997,1.831
0.023,0.016,0.673,-2.075,8.301,2.869
0.024,-0.001,0.633,6.958,-4.150,2.808
0.014,-0.004,0.658,9.644,-11.475,2.258
-0.004,0.010,0.972,10.254,-19.470,1.587
-0.195,0.048,0.943,231.140,-105.835,16.968
-0.315,-0.309,0.443,64.270,61.279,-6.226
-0.058,0.178,1.299,-51.331,-63.660,-4.944
0.084,-0.034,1.206,-33.081,-61.768,-6.226
-0.042,-0.076,0.236,-13.428,55.420,-0.244
-0.038,-0.006,0.535,12.329,8.606,0.122
-0.044,0.200,1.910,33.264,-55.847,4.822
-0.110,-0.189,1.162,2.502,22.522,-6.775
-0.035,-0.004,1.238,-33.264,51.331,1.465
-0.020,0.027,1.239,-43.640,48.645,5.798
0.060,-0.018,0.453,-29.968,69.763,-1.038
0.038,-0.016,0.456,-7.568,37.170,1.770
0.013,0.044,0.863,7.385,-19.653,5.920
0.013,-0.016,0.514,9.338,-5.127,1.648
0.015,0.005,0.796,7.141,-16.846,2.380
-0.011,0.010,1.011,14.954,-28.564,1.770
-0.051,-0.023,1.189,21.606,-29.114,1.099
-0.062,-0.027,1.249,27.710,-31.677,2.808
-0.053,-0.010,1.319,14.526,-20.569,5.188
-0.046,-0.037,1.076,-2.075,8.301,0.671
-0.027,-0.013,1.031,-8.423,17.395,1.892
-0.008,0.004,0.952,-7.935,19.592,2.869
-0.004,-0.025,0.725,-12.817,28.137,1.282
0.009,-0.000,0.820,-6.958,17.639,1.831
0.006,-0.007,0.851,1.038,4.761,2.319
-0.023,-0.022,1.092,5.493,-4.639,2.563
-0.061,-0.034,1.302,7.507,-7.690,5.127
-0.062,-0.005,1.590,4.517,2.991,7.935
-0.044,0.013,1.750,-10.559,35.339,5.371
-0.056,-0.048,1.480,-9.155,59.326,3.601
-0.016,-0.012,1.060,-18.555,88.745,-0.671
0.048,-0.011,0.449,2.197,84.961,-1.343
0.089,0.000,0.268,11.597,61.340,1.404
0.103,0.004,0.149,10.681,36.865,1.892
0.090,-0.004,0.107,7.202,13.245,2.380
0.090,-0.007,0.230,0.671,-9.888,2.441
0.055,-0.001,0.360,-1.404,-34.851,2.991
0.047,-0.044,0.455,-3.296,-57.007,2.197
0.019,0.011,0.508,-9.949,-68.237,2.563
-0.011,0.001,1.069,-7.324,-85.327,2.747
-0.027,0.334,3.376,62.927,-147.644,11.902
-0.188,-0.180,1.371,95.032,-67.139,-0.854
-0.121,-0.110,1.111,5.310,9.399,-9.338
-0.019,0.084,1.226,-12.390,-29.602,7.996
-0.038,-0.083,0.818,-8.850,12.695,1.953
-0.042,-0.032,0.654,-0.854,26.428,-0.549
-0.055,-0.046,1.240,2.380,-6.653,5.493
-0.035,0.037,1.162,-10.620,17.090,3.479
-0.041,-0.038,1.095,-24.597,46.509,-0.549
