aX,aY,aZ,gX,gY,gZ
0.108,-0.106,0.713,-112.915,97.473,-5.493
0.163,-0.082,0.703,-60.974,75.500,-7.996
-0.070,0.064,0.368,14.648,-14.526,25.330
0.069,-0.019,0.757,104.248,-105.042,26.123
0.401,-0.140,1.713,49.988,-80.505,-1.465
0.131,-0.119,1.358,-9.399,-6.653,0.366
0.112,-0.170,0.868,-24.353,77.637,0.671
0.115,-0.034,0.731,-78.064,73.181,5.920
0.206,0.016,0.751,-37.354,21.667,9.155
0.177,0.037,0.912,23.071,-14.648,4.700
0.110,0.083,1.017,37.720,-26.428,10.498
0.135,-0.038,0.993,39.185,-22.705,3.113
0.127,-0.156,0.999,41.016,-21.057,-1.221
0.068,-0.121,1.071,14.954,-19.470,3.296
0.096,-0.088,0.918,4.272,-1.038,2.808
0.153,-0.099,0.872,-1.953,12.939,-0.061
0.128,-0.007,0.962,-6.287,6.714,2.502
0.200,-0.064,1.449,-5.066,0.732,1.770
0.112,0.050,1.045,26.550,-10.803,9.583
0.049,-0.022,0.710,18.738,15.320,1.282
0.156,-0.181,0.829,-44.678,51.880,-16.724
-0.068,0.033,0.687,-15.930,23.254,1.465
-0.059,-0.051,1.180,78.369,-109.924,38.818
-0.051,-0.054,1.124,29.419,-59.998,12.695
